brand_id,canonical,aliases,wikidata
starbucks,Starbucks,"starbucks coffee|starbucks reserve",
dunkin,Dunkin',"dunkin donuts|dunkin’",
chipotle,Chipotle Mexican Grill,chipotle,
costco,Costco,"costco wholesale",
whole_foods,Whole Foods Market,"whole foods|wholefoods",
trader_joes,Trader Joe's,"trader joes|trader joe’s",
market_basket,Market Basket,"demoulas market basket|demoulas",
stop_and_shop,Stop & Shop,"stop & shop|stop and shop",
aldi,ALDI,aldi,
walmart,Walmart,"wal-mart",
target,Target,,
cvs,CVS Pharmacy,"cvs|cvs/pharmacy|cvs health",
walgreens,Walgreens,walgreen,
dominos,Domino's,"dominos|domino's pizza",
pizza_hut,Pizza Hut,,
bjs,BJ's Wholesale Club,"bj's|bjs wholesale",
