tow,slug,crime_rate_per_100k
Abington,abington,3140.41
Acton,acton,1031.19
Acushnet,acushnet,1654.76
Adams,adams,3211.3
Agawam,agawam,3313.4
Amesbury,amesbury,2756.41
Amherst,amherst,968.61
Andover,andover,1560.53
Aquinnah,aquinnah,445.43
Arlington,arlington,1274.11
Ashburnham,ashburnham,1571.98
Ashby,ashby,1231.84
Ashfield,ashfield,592.07
Ashland,ashland,1367.4
Athol,athol,3002.6
Attleboro,attleboro,4036.31
Auburn,auburn,3637.67
Avon,avon,3350.9
Ayer,ayer,2384.34
Barnstable,barnstable,3265.78
Barre,barre,1817.2
Becket,becket,2589.33
Bedford,bedford,892.54
Belchertown,belchertown,1763.44
Bellingham,bellingham,2766.2
Belmont,belmont,1713.36
Berkley,berkley,1594.97
Berlin,berlin,778.46
Bernardston,bernardston,1935.26
Beverly,beverly,1438.22
Billerica,billerica,2156.72
Blackstone,blackstone,939.83
Bolton,bolton,1799.93
Boston,boston,6618.46
Bourne,bourne,4060.33
Boxborough,boxborough,1224.26
Boxford,boxford,580.03
Boylston,boylston,984.53
Braintree,braintree,2584.06
Brewster,brewster,995.64
Bridgewater,bridgewater,2375.01
Brimfield,brimfield,1050.65
Brockton,brockton,4325.4
Brookfield,brookfield,1743.17
Brookline,brookline,1685.85
Buckingham,buckland,0.0
Burlington,burlington,3271.03
Cambridge,cambridge,5416.95
Canton,canton,1886.26
Carlisle,carlisle,1498.64
Carver,carver,1584.42
Charlemont,charlemont,0.0
Charlton,charlton,1496.2
Chatham,chatham,2311.2
Chelmsford,chelmsford,2446.45
Chelsea,chelsea,6459.29
Cheshire,cheshire,875.82
Chester,chester,0.0
Chesterfield,chesterfield,512.82
Chicopee,chicopee,5561.11
Chilmark,chilmark,1356.74
Clarksburg,clarksburg,366.3
Clinton,clinton,378.79
Cohasset,cohasset,1515.51
Colrain,colrain,0.0
Concord,concord,1699.96
Cummington,cummington,0.0
Dalton,dalton,1258.88
Danvers,danvers,3026.26
Dartmouth,dartmouth,3790.81
Dedham,dedham,2659.96
Deerfield,deerfield,2424.48
Dennis,dennis,2864.33
Dighton,dighton,1738.39
Douglas,douglas,1133.18
Dover,dover,1175.87
Dracut,dracut,1912.3
Dudley,dudley,1112.61
Dunstable,dunstable,1336.9
Duxbury,duxbury,1130.35
East Bridgewater,east-bridgewater,1402.12
East Brookfield,east-brookfield,2858.44
East Longmeadow,east-longmeadow,3223.45
Eastham,eastham,2023.81
Easthampton,easthampton,1796.0
Easton,easton,2321.65
Edgartown,edgartown,2410.76
Egremont,egremont,1671.51
Erving,erving,1256.73
Essex,essex,2039.15
Everett,everett,3347.41
Fairhaven,fairhaven,2371.64
Fall River,fall-river,5525.2
Falmouth,falmouth,3416.69
Fitchburg,fitchburg,4975.22
Foxborough,foxborough,3181.97
Framingham,framingham,2530.3
Franklin,franklin,1030.75
Freetown,freetown,2574.6
Gardner,gardner,2704.65
Georgetown,georgetown,1022.47
Gill,gill,2301.79
Gloucester,gloucester,2307.36
Goshen,goshen,0.0
Grafton,grafton,1046.52
Granby,granby,1077.59
Granville,granville,1305.48
Great Barrington,great-barrington,2902.56
Greenfield,greenfield,6035.13
Groton,groton,771.72
Groveland,groveland,222.78
Hadley,hadley,7065.32
Halifax,halifax,2123.94
Hamilton,hamilton,1127.92
Hampden,hampden,853.31
Hancock,hancock,0.0
Hanover,hanover,1927.46
Hanson,hanson,1343.26
Hardwick,hardwick,1800.45
Harvard,harvard,781.25
Harwich,harwich,1463.13
Hatfield,hatfield,908.27
Haverhill,haverhill,3859.5
Hingham,hingham,1773.4
Hinsdale,hinsdale,898.05
Holbrook,holbrook,4476.69
Holden,holden,872.57
Holland,holland,892.86
Holliston,holliston,700.38
Holyoke,holyoke,13297.62
Hopedale,hopedale,1409.39
Hopkinton,hopkinton,869.17
Hubbardston,hubbardston,0.0
Hudson,hudson,1931.29
Hull,hull,2269.73
Ipswich,ipswich,1147.69
Kingston,kingston,2307.11
Lakeville,lakeville,1302.41
Lancaster,lancaster,2378.4
Lanesboro,lanesboro,2663.12
Lawrence,lawrence,3252.63
Lee,lee,3154.74
Leicester,leicester,2894.09
Lenox,lenox,3049.51
Leominster,leominster,4459.84
Leverett,leverett,1288.94
Lexington,lexington,1016.33
Leyden,leyden,0.0
Lincoln,lincoln,1056.65
Littleton,littleton,1208.01
Longmeadow,longmeadow,1727.89
Lowell,lowell,4906.12
Ludlow,ludlow,2452.71
Lunenburg,lunenburg,2260.5
Lynn,lynn,4163.37
Lynnfield,lynnfield,1902.49
Malden,malden,2830.88
Manchester-by-the-sea,manchester-by-the-sea,1344.04
Mansfield,mansfield,2458.12
Marblehead,marblehead,1607.16
Marion,marion,2185.0
Marlborough,marlborough,3499.87
Marshfield,marshfield,668.81
Mashpee,mashpee,2040.43
Mattapoisett,mattapoisett,1244.03
Maynard,maynard,2657.9
Medfield,medfield,1076.16
Medford,medford,2448.74
Medway,medway,572.27
Melrose,melrose,1535.44
Mendon,mendon,1703.74
Merrimac,merrimac,893.52
Methuen,methuen,2152.81
Middleborough,middleborough,3034.47
Middleton,middleton,1111.89
Milford,milford,3148.88
Millbury,millbury,3611.11
Millville,millis,397.35
Millville,millville,444.59
Milton,milton,1136.64
Monson,monson,2353.67
Montague,montague,2448.88
Monterey,monterey,0.0
Montgomery,montgomery,0.0
Nahant,nahant,1158.18
Nantucket,nantucket,3267.66
Natick,natick,2817.96
Needham,needham,1857.07
New Bedford,new-bedford,5735.76
New Braintree,new-braintree,1008.07
New Marlboro,new-marlboro,598.8
New Salem,new-salem,0.0
Newbury,newbury,1788.38
Newburyport,newburyport,1406.51
Newton,newton,1656.4
Norfolk,norfolk,
North Adams,north-adams,
North Andover,north-andover,1400.53
North Attleborough,north-attleborough,
North Brookfield,north-brookfield,0.0
North Reading,north-reading,1524.96
Northampton,northampton,3836.04
Northborough,northborough,1408.18
Northbridge,northbridge,1511.73
Northfield,northfield,1216.97
Norton,norton,
Norwell,norwell,
Norwood,norwood,2058.57
Oak Bluffs,oak-bluffs,3969.86
Oakham,oakham,1543.37
Orange,orange,3189.52
Orleans,orleans,2337.02
Otis,otis,1109.06
Oxford,oxford,2028.09
Palmer,palmer,4279.59
Paxton,paxton,1167.85
Peabody,peabody,2459.09
Pelham,pelham,714.85
Pembroke,pembroke,1165.23
Pepperell,pepperell,2072.45
Petersham,petersham,
Pittsfield,pittsfield,
Plainfield,plainfield,
Plainville,plainville,4245.86
Plymouth,plymouth,2832.59
Plympton,plympton,2298.85
Princeton,princeton,1277.68
Provincetown,provincetown,5682.42
Quincy,quincy,4189.72
Randolph,randolph,2491.07
Raynham,raynham,2535.52
Reading,reading,1372.59
Rehoboth,rehoboth,1237.81
Revere,revere,4108.03
Richmond,richmond,0.0
Rochester,rochester,1178.01
Rockland,rockland,1767.64
Rockport,rockport,
Rowe,rowe,0.0
Rowley,rowley,
Royalston,royalston,472.44
Russell,russell,0.0
Rutland,rutland,1651.32
Salem,salem,4432.84
Salisbury,salisbury,2519.55
Sandwich,sandwich,1720.26
Saugus,saugus,2907.16
Savoy,savoy,0.0
Scituate,scituate,692.75
Seekonk,seekonk,3807.83
Sharon,sharon,682.96
Sheffield,sheffield,0.0
Shelburne,shelburne,2596.71
Sherborn,sherborn,640.88
Shirley,shirley,1607.28
Shrewsbury,shrewsbury,1277.07
Shutesbury,shutesbury,404.86
Somerset,somerset,2356.11
Somerville,somerville,2851.11
South Hadley,south-hadley,2454.02
Southampton,southampton,1289.7
Southborough,southborough,738.33
Southbridge,southbridge,3482.11
Southwick,southwick,1853.46
Spencer,spencer,1282.7
Springfield,springfield,9270.64
Sterling,sterling,1272.73
Stockbridge,stockbridge,2408.43
Stoneham,stoneham,2043.98
Stoughton,stoughton,3272.08
Stow,stow,1169.42
Sturbridge,sturbridge,2959.53
Sudbury,sudbury,849.19
Sunderland,sunderland,1345.05
Sutton,sutton,
Swampscott,swampscott,
Swansea,swansea,2282.5
Taunton,taunton,2995.56
Templeton,templeton,1068.74
Tewksbury,tewksbury,2804.16
Tisbury,tisbury,4275.92
Tolland,tolland,427.35
Topsfield,topsfield,830.51
Townsend,townsend,1999.1
Truro,truro,2027.03
Tyngsborough,tyngsborough,2209.32
Tyringham,tyringham,
Upton,upton,
Uxbridge,uxbridge,
Wakefield,wakefield,1571.3
Wales,wales,
Walpole,walpole,
Waltham,waltham,
Ware,ware,
Wareham,wareham,2995.18
Warren,warren,1864.85
Warwick,warwick,0.0
Watertown,watertown,3735.57
Wayland,wayland,1301.76
Webster,webster,4307.8
Wellesley,wellesley,1300.91
Wellfleet,wellfleet,1649.54
Wendell,wendell,0.0
Wenham,wenham,1213.35
West Boylston,west-boylston,
West Bridgewater,west-bridgewater,
West Brookfield,west-brookfield,810.25
West Newbury,west-newbury,1302.37
West Springfield,west-springfield,
West Stockbridge,west-stockbridge,0.0
West Tisbury,west-tisbury,1592.97
Westborough,westborough,2976.91
Westfield,westfield,2342.0
Westford,westford,906.77
Westhampton,westhampton,0.0
Westminster,westminster,1854.94
Weston,weston,1141.73
Westport,westport,1926.57
Westwood,westwood,2070.83
Weymouth,weymouth,2480.73
Whately,whately,860.48
Whitman,whitman,2534.26
Wilbraham,wilbraham,3156.74
Williamsburg,williamsburg,2158.86
Williamstown,williamstown,
Wilmington,wilmington,
Winchendon,winchendon,
Winchester,winchester,885.54
Winthrop,winthrop,2025.69
Woburn,woburn,2582.89
Worcester,worcester,1217.1
Worthington,worthington,424.09
Wrentham,wrentham,3368.57
Yarmouth,yarmouth,3031.61
