name,trauma_level,lon,lat,ext_id,source_updated_at
Akron Children's Hospital,pediatric,-81.5264,41.078896,2663,
Albany Medical Center,pediatric,-73.775505,42.65328,2976,
Arkansas Children's Hospital,pediatric,-92.29152,34.74251,2591,
Arrowhead Regional Medical Center,adult,-117.35116,34.073708,486,
Henry Ford St. John Hospital,adult,-82.914276,42.419964,617,
Ascension St. John Medical Center,adult,-95.966705,36.134056,401,
Ascension St. Vincent Hospital/Peyton Manning Children's Hospital at Ascension St. Vincent Hospital,pediatric,-86.19571,39.908737,2722,
Ascension St. Vincent Hospital/Peyton Manning Children's Hospital at Ascension St. Vincent Hospital,adult,-86.19571,39.908737,2722,
Ascension Via Christi St. Francis,adult,-97.33237,37.699787,468,
Atrium Health Navicent Medical Center,adult,-83.63587,32.833054,426,
Carolinas Medical Center / Levine Children's Hospital,pediatric,-80.84145,35.203712,4823,
Carolinas Medical Center / Levine Children's Hospital,adult,-80.84145,35.203712,4823,
Atrium Health Wake Forest Baptist Medical Center/Brenner Children’s Hospital,pediatric,-80.27037,36.088776,4,
Atrium Health Wake Forest Baptist Medical Center/Brenner Children’s Hospital,adult,-80.27037,36.088776,4,
Wellstar MCG Health,adult,-81.99026,33.472553,425,
Banner University Medical Center - Phoenix,adult,-112.05773,33.464516,69,
Banner University Medical Center - Tucson,adult,-110.94727,32.241837,555,
Wolfson Children's Hospital,pediatric,-81.66412,30.315624,3913,
Barnes-Jewish Hospital,adult,-90.26487,38.635155,109,
Baylor Scott & White Medical Center - Temple/McLane Children's Medical Center,adult,-97.36413,31.077583,4825,
Baylor University Medical Center at Dallas,adult,-96.78013,32.790127,4818,
Baystate Medical Center,adult,-72.603424,42.12204,95,
Ben Taub Hospital - Harris Health System,adult,-95.39359,29.7109,480,
Beth Israel Deaconess Medical Center,adult,-71.10508,42.339798,545,
Billings Clinic,adult,-108.57317,45.752277,512,
Boston Children's Hospital,pediatric,-71.10523,42.337494,554,
Boston Medical Center,adult,-71.0749,42.33463,2612,
Brigham and Women's Hospital,adult,-71.10647,42.335712,2618,
